VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,7478,1993-01-01T00:00:00Z,2020-01-01T00:00:00Z,0.8,0.03,4.87
NH4_N,Ammonium-N,grab-nonsensor,mg/L,5464,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.4,0,97.79
NO3_N,Nitrate-N,grab-nonsensor,mg/L,10988,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.8,0,97.87
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4073,1986-03-20T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,97.81
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3151,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,92.99
NH4_N,Ammonium-N,grab-nonsensor,mg/L,5464,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.4,0,97.79
NO3_N,Nitrate-N,grab-nonsensor,mg/L,10988,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.8,0,97.87
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4073,1986-03-20T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,97.81
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3151,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,92.99
precipitation,Basin Precip,grab-nonsensor,mm,12778,1982-06-14T00:00:00Z,2019-12-28T00:00:00Z,0.9,0,83.41
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,4620,1994-03-19T00:00:00Z,2019-01-01T00:00:00Z,0.5,0.82,60.89
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1993,1989-09-07T00:00:00Z,2000-08-29T00:00:00Z,0.5,0,64.53
NO3_N,Nitrate-N,grab-nonsensor,mg/L,6338,1983-04-09T00:00:00Z,2019-01-01T00:00:00Z,0.5,0,67.01
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1523,1983-04-09T00:00:00Z,1993-06-22T00:00:00Z,0.4,0,84.31
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4729,1989-09-07T00:00:00Z,2019-01-01T00:00:00Z,0.4,0,63.06
TN,Total Nitrogen,grab-nonsensor,mg/L,3159,1985-03-13T00:00:00Z,2000-08-03T00:00:00Z,0.6,0,73.35
TP,Total Phosphorus,grab-nonsensor,mg/L,4951,1989-09-07T00:00:00Z,2019-01-01T00:00:00Z,0.5,0,67.66
TSS,Total Suspended Solids,grab-nonsensor,mg/L,2064,2009-05-07T00:00:00Z,2019-12-31T00:00:00Z,0.5,0,62.02
VSS,NA,grab-nonsensor,NA,2033,2009-05-07T00:00:00Z,2019-12-31T00:00:00Z,0.5,0,62.96
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,4234,1994-03-19T00:00:00Z,2019-01-01T00:00:00Z,0.5,0.33,62.47
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1453,1994-03-19T00:00:00Z,2000-08-29T00:00:00Z,0.6,0,62.7
NO3_N,Nitrate-N,grab-nonsensor,mg/L,4422,1993-01-01T00:00:00Z,2019-01-01T00:00:00Z,0.5,0,62.73
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4007,1996-05-07T00:00:00Z,2019-01-01T00:00:00Z,0.5,0,63.39
TN,Total Nitrogen,grab-nonsensor,mg/L,1632,1993-01-01T00:00:00Z,2000-08-03T00:00:00Z,0.6,0,66.42
TP,Total Phosphorus,grab-nonsensor,mg/L,4292,1993-01-05T00:00:00Z,2019-01-01T00:00:00Z,0.5,0,68.31
