Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.177,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.3,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.47,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.56,%,3,2007-07-31T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.74,%,3,1996-08-14T00:00:00Z,1997-08-13T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1,%,5,1997-06-19T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1.39,%,1,2014-08-08T00:00:00Z,2014-08-08T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_2,%,4,1997-06-19T00:00:00Z,2015-07-22T00:00:00Z,0
LTER,Arctic,Kuparuk_River_2.5,%,1,2014-08-08T00:00:00Z,2014-08-08T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_3,%,3,1997-06-19T00:00:00Z,2015-07-21T00:00:00Z,0
LTER,Arctic,Kuparuk_River_4,%,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_4.1,%,1,2015-07-19T00:00:00Z,2015-07-19T00:00:00Z,Inf
