Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Baltimore,BARN,FNU,5934,2001-10-10T00:00:00Z,2019-05-25T00:00:00Z,0.9
LTER,Baltimore,DRKR,FNU,2077,2001-10-10T00:00:00Z,2017-03-09T00:00:00Z,0.4
LTER,Baltimore,GFCP,FNU,430,2001-11-01T00:00:00Z,2019-06-08T00:00:00Z,0.1
LTER,Baltimore,GFGB,FNU,5811,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.9
LTER,Baltimore,GFGL,FNU,5629,2001-10-10T00:00:00Z,2019-03-09T00:00:00Z,0.9
LTER,Baltimore,GFVN,FNU,3303,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.5
LTER,Baltimore,JBHH,FNU,3282,2003-10-15T00:00:00Z,2010-05-12T00:00:00Z,1.4
LTER,Baltimore,JBNW,FNU,1374,2003-10-15T00:00:00Z,2010-06-09T00:00:00Z,0.6
LTER,Baltimore,JBON,FNU,1506,2003-10-15T00:00:00Z,2010-05-12T00:00:00Z,0.6
LTER,Baltimore,MAWI,FNU,35,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0
LTER,Baltimore,MCDN,FNU,4762,2001-10-03T00:00:00Z,2018-05-04T00:00:00Z,0.8
LTER,Baltimore,POBR,FNU,5941,2001-10-03T00:00:00Z,2019-05-25T00:00:00Z,0.9
LTER,Baltimore,RGHT,FNU,566,2002-03-12T00:00:00Z,2017-01-13T00:00:00Z,0.1
NEON,NEON,ARIK,FNU,1395,2016-08-23T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,BIGC,FNU,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,BLDE,FNU,766,2018-09-25T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,BLUE,FNU,514,2018-10-24T00:00:00Z,2020-07-15T00:00:00Z,0.8
NEON,NEON,BLWA,FNU,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5
NEON,NEON,CARI,FNU,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5
NEON,NEON,COMO,FNU,1169,2017-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,CUPE,FNU,929,2018-05-18T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,FLNT,FNU,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6
NEON,NEON,GUIL,FNU,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,HOPB,FNU,619,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,KING,FNU,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6
NEON,NEON,LECO,FNU,1005,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,LEWI,FNU,1156,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MART,FNU,1016,2018-02-20T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MAYF,FNU,1262,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8
NEON,NEON,MCDI,FNU,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,MCRA,FNU,1007,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,OKSR,FNU,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1
NEON,NEON,POSE,FNU,1305,2016-10-12T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,PRIN,FNU,1066,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,REDB,FNU,472,2018-06-30T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,SYCA,FNU,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7
NEON,NEON,TECR,FNU,485,2018-12-05T00:00:00Z,2020-12-01T00:00:00Z,0.7
NEON,NEON,TOMB,FNU,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5
NEON,NEON,WALK,FNU,1402,2016-08-10T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,WLOU,FNU,946,2017-10-31T00:00:00Z,2020-12-01T00:00:00Z,0.8
